path,t,SPX,SJIM,BIG_MAC
0,12/16/2046,9591.559899,53.01772034,16.11702638
0,1/16/2047,9866.209394,50.67089401,16.21650381
0,2/16/2047,10217.25348,53.15535983,16.36254534
0,3/16/2047,10184.4904,52.03343743,16.36675491
0,4/16/2047,10013.66301,51.67759352,16.51727731
0,5/16/2047,10380.50891,53.72389842,16.64014859
0,6/16/2047,10242.3623,55.36344452,16.70639282
0,7/16/2047,10622.57078,55.0302049,16.77737714
0,8/16/2047,10289.09146,57.4099791,16.90294827
0,9/16/2047,10211.17787,59.59983314,16.92711188
0,10/16/2047,9733.125675,60.98216098,17.0543957
0,11/16/2047,10170.17819,62.45355286,17.13345054
0,12/16/2047,9717.682223,59.89857932,17.26628173
0,1/16/2048,9898.172772,61.91465139,17.41699779
0,2/16/2048,10371.32775,59.29375668,17.54487149
0,3/16/2048,10802.2897,60.37465069,17.67052868
0,4/16/2048,10894.34522,59.3528307,17.74331097
0,5/16/2048,11030.21267,60.43349148,17.89421376
0,6/16/2048,11440.9821,61.45629229,17.95310831
0,7/16/2048,10901.07749,58.68794239,18.00672419
0,8/16/2048,11051.122,59.46631937,18.10261114
0,9/16/2048,11110.3748,57.83172981,18.18939235
0,10/16/2048,10684.72185,56.12633629,18.32247455
0,11/16/2048,10210.9056,57.79483254,18.42792243
0,12/16/2048,10629.53397,55.15040803,18.49528213
0,1/16/2049,10954.0117,53.48620314,18.56137034
0,2/16/2049,10970.07995,51.10789316,18.6132934
0,3/16/2049,10768.01489,50.31688295,18.73244695
0,4/16/2049,10998.47975,50.40743616,18.78059335
0,5/16/2049,10826.12264,48.36794019,18.83872623
0,6/16/2049,10762.05105,48.36624133,18.93159371
0,7/16/2049,10865.00104,48.51102902,18.99320648
0,8/16/2049,10499.8437,49.55283087,18.84958414
0,9/16/2049,10914.83131,50.91848798,18.89667217
0,10/16/2049,11391.39242,48.99119031,18.8020871
0,11/16/2049,11539.38712,46.78391469,18.95865729
0,12/16/2049,11910.56278,46.27856935,19.02762856
0,1/16/2050,11451.03427,45.41277552,19.0382583
0,2/16/2050,11887.33295,47.32903213,19.06647536
0,3/16/2050,11588.44247,49.44955228,19.08947743
0,4/16/2050,11710.56164,51.47410611,19.17614227
0,5/16/2050,11756.49174,50.10416764,19.24837745
0,6/16/2050,11955.72588,49.41985424,19.4385555
0,7/16/2050,11866.36553,51.87557297,19.44393003
0,8/16/2050,11700.06325,54.19084933,19.56842416
0,9/16/2050,11856.56576,54.29751085,19.67834693
0,10/16/2050,11949.54448,54.58524583,19.84579985
0,11/16/2050,12044.41186,54.44161526,19.8503057
0,12/16/2050,11442.36846,51.89627005,19.99548402
0,1/16/2051,11597.7691,52.40431557,20.13395309
0,2/16/2051,11570.41172,51.59859042,20.23466436
0,3/16/2051,11366.34308,52.91463693,20.29243252
0,4/16/2051,11476.01063,53.81870428,20.3917931
0,5/16/2051,12028.02838,55.86987872,20.52169088
0,6/16/2051,12528.41429,57.38395828,20.56335568
0,7/16/2051,12495.85007,58.31380689,20.69004354
0,8/16/2051,13045.73222,57.29109666,20.84174742
0,9/16/2051,13136.36088,57.83436639,20.8529889
0,10/16/2051,12922.19826,56.28300495,20.87922399
0,11/16/2051,13443.93378,56.46261514,20.99817604
0,12/16/2051,13377.74295,56.87540384,20.86922831
0,1/16/2052,13565.35188,54.51384251,20.67005035
0,2/16/2052,14095.49582,56.28675509,20.70416588
0,3/16/2052,14689.37778,58.00163058,20.79693032
0,4/16/2052,15203.60843,56.75004752,20.84124853
0,5/16/2052,15795.55849,57.25967332,20.87407053
0,6/16/2052,15680.16534,59.84944817,21.06040336
0,7/16/2052,15081.03547,62.54175977,21.10480842
0,8/16/2052,14367.79691,61.65216013,21.16193223
0,9/16/2052,14404.13786,63.91352757,21.26488949
0,10/16/2052,14205.76366,65.00019846,21.40562746
0,11/16/2052,14260.2083,68.15201651,21.61176493
0,12/16/2052,14652.31945,68.29902504,21.70917157
0,1/16/2053,14840.75969,71.07073339,21.8448551
0,2/16/2053,15110.648,72.0412403,22.0395185
0,3/16/2053,14694.2154,72.16348277,22.07193067
1,3/16/2023,3960.28,25.58,5.15
1,4/16/2023,3851.184075,25.08276094,5.198317482
1,5/16/2023,3954.78125,25.54140614,5.229798948
1,6/16/2023,4100.710072,25.21657777,5.25290287
1,7/16/2023,4268.38417,26.08734292,5.288792654
1,8/16/2023,4473.675494,25.14168465,5.288819712
1,9/16/2023,4288.366017,25.17929477,5.237964201
1,10/16/2023,4138.613168,24.27661395,5.280018049
